fullStreetName,CoordList
BUCKEYE RD,"[(-89.29847502064254, 43.07333272698253), (-89.2978607891812, 43.07334483546403), (-89.29711745804067, 43.07335062759035), (-89.2964835923481, 43.073357993373996), (-89.29597087346897, 43.07336746057958), (-89.29580573754392, 43.07336873466096)]"
BUCKEYE RD,"[(-89.28841818368606, 43.07346519008958), (-89.28660497662476, 43.07348736226233)]"
BUCKEYE RD,"[(-89.28988147929444, 43.073444514032076), (-89.28841818368606, 43.07346519008958)]"
BUCKEYE RD,"[(-89.28507710029645, 43.07351799302182), (-89.28292492085566, 43.07356477528906)]"
BUCKEYE RD,"[(-89.28660497662476, 43.07348736226233), (-89.28507710029645, 43.07351799302182)]"
BUCKEYE RD,"[(-89.30666892931146, 43.07306334499912), (-89.30661297086309, 43.073057249691516), (-89.3065569144728, 43.073051663716114), (-89.30650076750591, 43.07304658708029), (-89.30644453855227, 43.07304202159281), (-89.30638823743263, 43.073037967263424), (-89.3063318715124, 43.07303442409957), (-89.30627545061074, 43.073031393011185), (-89.30621898331735, 43.07302887580701), (-89.30616247699923, 43.07302687159449), (-89.3061059402494, 43.07302538038216), (-89.30604938411487, 43.07302440308142), (-89.3059928147331, 43.07302393969836), (-89.30593624315273, 43.07302399024427), (-89.30587967551132, 43.07302455472529), (-89.3058231228574, 43.07302563315278), (-89.30576659132865, 43.07302722553298), (-89.30571009197524, 43.073029330976986), (-89.3056536333903, 43.07303194949368), (-89.3055972217114, 43.07303508108941), (-89.30554086798881, 43.07303872487527), (-89.30361193462393, 43.07315495083429), (-89.302394123597, 43.07323384547297), (-89.30209564138248, 43.07325153644079)]"
BUTTONWOOD DR,"[(-89.29338180233948, 43.15067696717257), (-89.29118619048886, 43.150718802518234), (-89.29115057466407, 43.15071852146234), (-89.29111617217556, 43.15071825078446)]"
CARROLL ST,"[(-89.3852519086389, 43.07392885243959), (-89.38612109204671, 43.074588999614576), (-89.38612973679982, 43.07459579361468), (-89.38613787918666, 43.07460291329283), (-89.38614549588982, 43.074610339739614), (-89.38615256482115, 43.074618051345794), (-89.38615906757597, 43.07462602650319), (-89.38616498452173, 43.07463424360316), (-89.38617029971086, 43.07464267833812), (-89.38617499719527, 43.07465130730039), (-89.38617906471032, 43.07466010708357), (-89.38618249122014, 43.07466905248132), (-89.38618526691667, 43.07467811828778), (-89.38618738322023, 43.07468727839732), (-89.38618883400568, 43.07469650850526), (-89.38618961683241, 43.07470578250792), (-89.38618972803242, 43.074715073401016), (-89.38618916762078, 43.07472435508169)]"
CARROLL ST,"[(-89.3852519086389, 43.07392885243959), (-89.38436441896458, 43.073252991134176), (-89.3843551025865, 43.07324685925239), (-89.38434531694531, 43.073241132260804), (-89.3843350976352, 43.07323582907323), (-89.38432447779527, 43.07323096770256), (-89.38431349179295, 43.073226565262004), (-89.38430217645396, 43.073222634365116), (-89.3842905710585, 43.07321918942641), (-89.38427871366056, 43.073216242159866), (-89.384266643543, 43.07321380247949), (-89.38425440121821, 43.07321187759949), (-89.38424202842624, 43.073210474734466), (-89.38422956445315, 43.07320959839798), (-89.38421705349745, 43.073209251304924)]"
CEDAR ST,"[(-89.39487880244093, 43.051776120874884), (-89.39493703994358, 43.051761295630406), (-89.39499549690777, 43.05174694026382), (-89.39501701936183, 43.05174261677368), (-89.39503871342855, 43.051738779377516), (-89.39506055701439, 43.05173543167048), (-89.39508253048089, 43.05173257634807), (-89.39510461296145, 43.05173021790584), (-89.39512678481844, 43.05172835723914), (-89.39514902273206, 43.05172699524257), (-89.39517130829101, 43.05172613551208), (-89.39519361817625, 43.05172577714208), (-89.39521593275069, 43.05172592012794), (-89.39523823237658, 43.05172656536512), (-89.39526049250736, 43.05172771284778), (-89.39630108917841, 43.05177701272769), (-89.39632477051903, 43.05177842765682), (-89.39634838906545, 43.05178031782276), (-89.39637192763557, 43.05178268232166), (-89.39639536904758, 43.051785519349494), (-89.39641869611972, 43.05178882710217), (-89.39644189044326, 43.05179260287534), (-89.39646493483676, 43.051796843964894), (-89.39648781211906, 43.05180154676658), (-89.3965105051092, 43.051806707676256), (-89.39653299539827, 43.05181232398956), (-89.39655526826101, 43.05181838940254), (-89.39657730528815, 43.0518249021111), (-89.39659909052779, 43.051831854010736), (-89.39662060802573, 43.05183924239772), (-89.39689627026024, 43.051942901456016), (-89.39691511732157, 43.05194971942917), (-89.39693427510899, 43.05195605411094), (-89.39695372153224, 43.05196189919558), (-89.39697343081953, 43.05196724657631), (-89.39699338210747, 43.051972090847705), (-89.39701354962386, 43.05197642480318), (-89.39703390882285, 43.05198024393666), (-89.39705443761287, 43.051983544642695), (-89.39707510899359, 43.051986321514754), (-89.39709589964595, 43.05198857094714), (-89.39711678379524, 43.05199029203395), (-89.39713773689499, 43.05199148116948), (-89.39715873317, 43.051992138347956), (-89.39717974807358, 43.051992260863656), (-89.39781492529417, 43.051999515271426)]"
CHARMANY DR,"[(-89.47534375571011, 43.05838657424674), (-89.47534743560104, 43.05836367386259), (-89.47535181890036, 43.05834084065953), (-89.47535546491297, 43.05832420142229), (-89.47535948412137, 43.05830760881706), (-89.47561160858935, 43.057553795525145), (-89.47561951603127, 43.05753262315856), (-89.47562694467106, 43.057511357403875), (-89.47563389205902, 43.057490003663), (-89.4756403569743, 43.05746856913739), (-89.47564695726281, 43.05744471686519), (-89.47565295969316, 43.05742078026186), (-89.47565836181796, 43.05739676742951), (-89.47566316241605, 43.05737268466949), (-89.47566735904167, 43.05734854188429), (-89.47567095170257, 43.05732434717483), (-89.47567393795084, 43.05730010774319), (-89.47567631656747, 43.05727583259104), (-89.47567808755947, 43.05725152891921), (-89.47567924970787, 43.05722720572945), (-89.4756798188176, 43.05720127432834), (-89.47567969563067, 43.057175338750085), (-89.47567888138546, 43.05714941069539), (-89.47567737486256, 43.0571234982658), (-89.47567517852781, 43.05709761316148), (-89.47567229238993, 43.05707176438349), (-89.47566871768595, 43.05704596183236), (-89.47566445442521, 43.057020215409125), (-89.47565950629962, 43.05699453501318), (-89.47565387454684, 43.0569689314451), (-89.4756475604014, 43.05694341190506), (-89.47564056633003, 43.056917988993334), (-89.47563289725045, 43.056892670808374), (-89.47562455317197, 43.05686746725121), (-89.47561553901467, 43.05684238912071), (-89.47560585846782, 43.056817443615806), (-89.47559551399742, 43.056792642436484), (-89.47540266099092, 43.05631930376988)]"
